Type,Status,Committee,prime_sponsor,processed_text,joined_text
Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Amanda FarÃ­a,"['installation', 'electric', 'vehicle', 'charging', 'equipment', 'lampposts']",installation electric vehicle charging equipment lampposts
Introduction,Filed (End of Session),"Committee on Environmental Protection, Resiliency and Waterfronts",Amanda FarÃ­a,"['monitoring', 'helicopter', 'noise']",monitoring helicopter noise
Introduction,Filed (End of Session),Committee on Contracts,Crystal Hudson,"['indirect', 'costs', 'nonprofit', 'service', 'contractors']",indirect costs nonprofit service contractors
Introduction,Filed (End of Session),Committee on Economic Development,Selvena N. Brooks-Powers,"['regular', 'reports', 'redevelopment', 'plans', 'john', 'kennedy', 'international', 'airport']",regular reports redevelopment plans john kennedy international airport
Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Sandra Ung,"['transportation', 'approval', 'prior', 'issuing', 'renewing', 'stoop', 'line', 'stand', 'license']",transportation approval prior issuing renewing stoop line stand license
Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Pierina Ana Sanchez,"['ensuring', 'business', 'licensing', 'regulatory', 'compliance', 'mobile', 'food', 'general', 'vendors']",ensuring business licensing regulatory compliance mobile food general vendors
Introduction,Filed (End of Session),Committee on Sanitation and Solid Waste Management,Crystal Hudson,"['commissioner', 'sanitation', 'study', 'feasibility', 'potential', 'environmental', 'effects', 'recycling', 'mandate', 'household', 'textiles']",commissioner sanitation study feasibility potential environmental effects recycling mandate household textiles
Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Crystal Hudson,"['creation', 'residential', 'parking', 'permit', 'system', 'northwestern']",creation residential parking permit system northwestern
Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Shekar Krishnan,"['repealing', 'misdemeanor', 'criminal', 'penalties', 'general', 'vendors', 'mobile', 'food', 'vendors']",repealing misdemeanor criminal penalties general vendors mobile food vendors
Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Carmen N. De La Rosa,"['permitting', 'street', 'vendors', 'vend', 'within', 'two', 'feet', 'curb']",permitting street vendors vend within two feet curb
Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.","['g', 'scq', 'primary', 'school', 'facility', 'school', 'construction', 'authority', 'school', 'construction', 'authority', 'concerning', 'proposed', 'site', 'selection', 'approximately', 'primary', 'school', 'facility', 'community', 'community', 'school']",g scq primary school facility school construction authority school construction authority concerning proposed site selection approximately primary school facility community community school
Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.","['g', 'sck', 'high', 'school', 'facility', 'school', 'construction', 'authority', 'school', 'construction', 'authority', 'concerning', 'proposed', 'site', 'selection', 'approximately', 'high', 'school', 'facility', 'including', 'special', 'education', 'lots', 'community', 'community', 'school']",g sck high school facility school construction authority school construction authority concerning proposed site selection approximately high school facility including special education lots community community school
Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.","['g', 'xam', 'west', 'street', 'cluster', 'housing', 'preservation', 'development', 'hpd', 'article', 'general', 'municipal', 'article', 'xi', 'private', 'housing', 'finance', 'requesting', 'approval', 'urban', 'development', 'action', 'area', 'project', 'waiver', 'designation', 'requirement', 'general', 'municipal', 'waiver', 'requirements', 'sections', 'approval', 'taxation', 'properties', 'west', 'street']",g xam west street cluster housing preservation development hpd article general municipal article xi private housing finance requesting approval urban development action area project waiver designation requirement general municipal waiver requirements sections approval taxation properties west street
Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.","['g', 'xak', 'penn', 'article', 'xi', 'housing', 'preservation', 'development', 'article', 'xi', 'private', 'housing', 'finance', 'approval', 'taxation', 'community', 'districts']",g xak penn article xi housing preservation development article xi private housing finance approval taxation community districts
Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,"['villa', 'hermosa', 'community']",villa hermosa community
Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,"['mhany', 'stella', 'heights', 'community', 'districts']",mhany stella heights community districts
Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,"['sumet', 'lots', 'lots', 'lots', 'community']",sumet lots lots lots community
Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,"['dekalb', 'community']",dekalb community
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['designation', 'changes', 'designation', 'organizations', 'receive', 'funding', 'expense', 'budget']",designation changes designation organizations receive funding expense budget
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zrr', 'bay', 'street', 'epsilon', 'enterprises', 'realty', 'llc', 'zoning', 'modifying', 'article', 'xiii', 'chapter', 'special', 'bay', 'street', 'corridor', 'create', 'subdistrict', 'appendix', 'f', 'purpose', 'mandatory', 'inclusionary', 'housing', 'area', 'community']",zrr bay street epsilon enterprises realty llc zoning modifying article xiii chapter special bay street corridor create subdistrict appendix f purpose mandatory inclusionary housing area community
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zmr', 'bay', 'street', 'epsilon', 'enterprises', 'realty', 'llc', 'sections', 'zoning', 'map', 'changing', 'within', 'proposed', 'special', 'bay', 'street', 'corridor', 'bsc', 'community']",zmr bay street epsilon enterprises realty llc sections zoning map changing within proposed special bay street corridor bsc community
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'zrk', 'text', 'zoning']",modifications decision planning zrk text zoning
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['decision', 'planning', 'ulurp', 'zmk', 'zoning', 'map']",decision planning ulurp zmk zoning map
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'zrk', 'text', 'zoning']",modifications decision planning zrk text zoning
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'ulurp', 'zmk', 'zoning', 'map']",modifications decision planning ulurp zmk zoning map
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'zry', 'text', 'zoning']",modifications decision planning zry text zoning
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['taxes', 'private', 'housing', 'finance']",taxes private housing finance
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['taxes', 'lots', 'private', 'housing', 'finance']",taxes lots private housing finance
Introduction,Filed (End of Session),Committee on Health,Mercedes Narcisse,"['office', 'organ', 'transplant', 'equity', 'within', 'health', 'mental', 'hygiene']",office organ transplant equity within health mental hygiene
Resolution,Filed (End of Session),Committee on General Welfare,Gale A. Brewer,"['congress', 'president', 'renewed', 'farm', 'bill', 'increases', 'funding', 'food', 'aid']",congress president renewed farm bill increases funding food aid
Introduction,Filed (End of Session),"Committee on Mental Health, Disabilities and Addiction",Marjorie VelÃ¡zque,"['permitting', 'disabled', 'residents', 'obtain', 'marking', 'idnyc', 'card', 'serve', 'proof', 'disability']",permitting disabled residents obtain marking idnyc card serve proof disability
Introduction,Filed (End of Session),Committee on Education,Mercedes Narcisse,"['education', 'students', 'reported', 'office', 'school', 'health', 'diagnosis', 'sickle', 'cell', 'disease', 'trait']",education students reported office school health diagnosis sickle cell disease trait
Resolution,Filed (End of Session),Committee on Veterans,Vickie Paladino,"['education', 'observe', 'veterans', 'day', 'friday', 'november', 'falls', 'saturday', 'monday', 'falls', 'sunday']",education observe veterans day friday november falls saturday monday falls sunday
Introduction,Filed (End of Session),Committee on Health,Lynn C. Schulman,"['health', 'mental', 'hygiene', 'develop', 'healthy', 'nyc', 'population', 'health', 'agenda']",health mental hygiene develop healthy nyc population health agenda
Resolution,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Julie Menin,"['establish', 'educational', 'related', 'prevention', 'antisemitism', 'islamophobia', 'bias', 'discrimination', 'based', 'religion', 'race', 'sexual', 'orientation', 'gender', 'identity', 'expression']",establish educational related prevention antisemitism islamophobia bias discrimination based religion race sexual orientation gender identity expression
Introduction,Filed (End of Session),Committee on Public Safety,Keith Powers,"['amending', 'nuisance', 'abatement', 'regarding', 'sale', 'delivery', 'cannabis']",amending nuisance abatement regarding sale delivery cannabis
Introduction,Filed (End of Session),Committee on Parks and Recreation,Kevin C. Riley,"['plan', 'identify', 'facilitate', 'use', 'indoor', 'facilities', 'basketball', 'games']",plan identify facilitate use indoor facilities basketball games
Resolution,Filed (End of Session),Committee on Health,Julie Menin,"['congress', 'president', 'patient']",congress president patient
Introduction,Filed (End of Session),Committee on Small Business,Kevin C. Riley,"['pilot', 'match', 'small', 'businesses', 'social', 'media', 'content', 'creators', 'assistance', 'marketing', 'advertising', 'providing', 'repeal', 'provisions', 'expiration', 'thereof']",pilot match small businesses social media content creators assistance marketing advertising providing repeal provisions expiration thereof
Introduction,Filed (End of Session),Committee on Housing and Buildings,Pierina Ana Sanchez,"['fuel', 'gas', 'periodic', 'inspections', 'gas', 'piping', 'systems', 'ordinary', 'plumbing', 'work', 'reestablishing', 'plumbing', 'fire', 'suppression', 'piping', 'contractor', 'license', 'board', 'piping', 'systems', 'emergency', 'work', 'fire', 'suppression', 'piping', 'work', 'seizure']",fuel gas periodic inspections gas piping systems ordinary plumbing work reestablishing plumbing fire suppression piping contractor license board piping systems emergency work fire suppression piping work seizure
Introduction,Filed (End of Session),Committee on Aging,Linda Lee,"['meals', 'delivered', 'day', 'calendar', 'year']",meals delivered day calendar year
Introduction,Filed (End of Session),Committee on Civil Service and Labor,Carmen N. De La Rosa,"['establishment', 'community', 'hiring', 'compensation', 'standards', 'assisted', 'housing', 'development', 'projects']",establishment community hiring compensation standards assisted housing development projects
Resolution,Adopted,Committee on Veterans,Robert F. Holden,"['authorize', 'veterans', 'services', 'provide', 'eligible', 'veterans', 'financial', 'assistance', 'purchasing', 'training', 'upkeep', 'service', 'dogs', 'emotional', 'support', 'dogs']",authorize veterans services provide eligible veterans financial assistance purchasing training upkeep service dogs emotional support dogs
Resolution,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",David M. Carr,"['recognizing', 'april', 'annually', 'giovanni', 'da', 'verrazzano', 'day']",recognizing april annually giovanni da verrazzano day
Resolution,Filed (End of Session),Committee on Immigration,Diana I. Ayala,"['united', 'states', 'congress', 'president', 'including', 'wage', 'theft', 'qualifying', 'crime', 'removing', 'yearly', 'cap']",united states congress president including wage theft qualifying crime removing yearly cap
Resolution,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Shahana K. Hanif,"['acknowledging', 'july', 'august', 'south', 'asian', 'heritage', 'month', 'annually', 'celebrating', 'contributions', 'made', 'yorkers', 'south', 'asian', 'heritage', 'multicultural', 'neighborhoods']",acknowledging july august south asian heritage month annually celebrating contributions made yorkers south asian heritage multicultural neighborhoods
Introduction,Filed (End of Session),Committee on Health,Tiffany CabÃ¡,"['health', 'mental', 'hygiene', 'conduct', 'community', 'needs', 'assessment', 'identify', 'needs', 'gaps', 'services', 'people', 'experiencing', 'long', 'covid']",health mental hygiene conduct community needs assessment identify needs gaps services people experiencing long covid
Introduction,Filed (End of Session),Committee on Finance,Justin L. Brannan,"['adjudication', 'liability', 'imposed', 'owners', 'vehicle', 'traffic']",adjudication liability imposed owners vehicle traffic
Introduction,Filed (End of Session),Committee on Aging,Crystal Hudson,"['meal', 'older', 'adult', 'centers']",meal older adult centers
Introduction,Filed (End of Session),Committee on Technology,Justin L. Brannan,"['assessment', 'policy', 'technology', 'systems']",assessment policy technology systems
Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,"['whga', 'dunbar', 'community']",whga dunbar community
Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,"['parkview', 'apartments', 'lots', 'community']",parkview apartments lots community
Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,"['appointment', 'president', 'orlando', 'marin', 'member', 'planning']",appointment president orlando marin member planning
Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,"['appointment', 'mayor', 'lisa', 'urban', 'member', 'environmental', 'control', 'board']",appointment mayor lisa urban member environmental control board
Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,"['appointment', 'mayor', 'gary', 'bristol', 'member', 'tax']",appointment mayor gary bristol member tax
Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,"['appointment', 'mayor', 'bennett', 'minko', 'member', 'tax']",appointment mayor bennett minko member tax
Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,"['appointment', 'mayor', 'john', 'heesemann', 'member', 'tax']",appointment mayor john heesemann member tax
Introduction,Filed (End of Session),Committee on Technology,Robert F. Holden,"['customer', 'service', 'center', 'indicate', 'agency', 'unable', 'respond', 'service', 'request', 'complaint', 'implement', 'protocols', 'providing', 'proof', 'action']",customer service center indicate agency unable respond service request complaint implement protocols providing proof action
Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Rita C. Joseph,"['establishment', 'parking', 'enforcement', 'unit', 'within', 'transportation']",establishment parking enforcement unit within transportation
Resolution,Filed (End of Session),Committee on Transportation and Infrastructure,Carlina Rivera,"['directs', 'metropolitan', 'transportation', 'authority', 'transit', 'authority', 'rename', 'street', 'subway', 'station', 'street', 'baruch', 'college', 'station']",directs metropolitan transportation authority transit authority rename street subway station street baruch college station
Introduction,Filed (End of Session),Committee on Health,Mercedes Narcisse,"['health', 'mental', 'hygiene', 'develop', 'educational', 'materials', 'regarding', 'marijuana', 'distribution', 'youth', 'services', 'programs', 'students']",health mental hygiene develop educational materials regarding marijuana distribution youth services programs students
Resolution,Filed (End of Session),Committee on Education,Julie Won,"['require', 'schools', 'obtain', 'prior', 'written', 'consent', 'parents', 'eligible', 'students', 'releasing', 'personal', 'information', 'third', 'party', 'contractors']",require schools obtain prior written consent parents eligible students releasing personal information third party contractors
Resolution,Filed (End of Session),Committee on Sanitation and Solid Waste Management,Sandy Nurse,"['environmental', 'conservation', 'extended', 'producer', 'responsibility', 'rechargeable', 'batteries']",environmental conservation extended producer responsibility rechargeable batteries
Resolution,Adopted,"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Amanda FarÃ­a,"['recognizing', 'april', 'annually', 'borinqueneers', 'day', 'honor', 'courage', 'wartime', 'contributions', 'infantry', 'regiment', 'lasting', 'legac']",recognizing april annually borinqueneers day honor courage wartime contributions infantry regiment lasting legac
Introduction,Filed (End of Session),Committee on Public Safety,Nantasha M. Williams,"['offering', 'community', 'service', 'lieu', 'civil', 'penalties', 'littering', 'violations']",offering community service lieu civil penalties littering violations
Introduction,Filed (End of Session),Committee on Technology,Jennifer GutiÃ©rre,"['office', 'algorithmic', 'data', 'integrity']",office algorithmic data integrity
Introduction,Filed (End of Session),Committee on Civil Service and Labor,Carmen N. De La Rosa,"['civil', 'service', 'examination', 'fee', 'waivers']",civil service examination fee waivers
Resolution,Filed (End of Session),Committee on Health,Julie Menin,"['increase', 'medicaid', 'reimbursement', 'cover', 'eight', 'visits', 'well', 'delivery', 'support', 'doulas']",increase medicaid reimbursement cover eight visits well delivery support doulas
Introduction,Filed (End of Session),Committee on Health,Sandra Ung,"['prohibiting', 'smoking', 'sidewalks', 'immediately', 'adjoining', 'parks', 'imposing', 'civil', 'penalties', 'violating', 'prohibition', 'increasing', 'civil', 'penalties', 'smoking', 'parks']",prohibiting smoking sidewalks immediately adjoining parks imposing civil penalties violating prohibition increasing civil penalties smoking parks
Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Nantasha M. Williams,"['licensing', 'tire', 'shops']",licensing tire shops
Resolution,Filed (End of Session),Committee on Small Business,Julie Menin,"['united', 'states', 'congress', 'president', 'congress', 'known', 'community', 'news', 'small', 'business', 'support']",united states congress president congress known community news small business support
Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Gale A. Brewer,"['creating', 'licensing', 'requirements', 'electric', 'bicycle', 'scooter', 'businesses']",creating licensing requirements electric bicycle scooter businesses
Resolution,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Nantasha M. Williams,"['designating', 'october', 'youth', 'empowerment', 'month', 'annually', 'recognize', 'appreciate', 'celebrate', 'successes', 'young', 'people', 'contributions', 'school', 'community', 'life']",designating october youth empowerment month annually recognize appreciate celebrate successes young people contributions school community life
Introduction,Filed (End of Session),Committee on Housing and Buildings,Crystal Hudson,"['collecting', 'information', 'accessibility', 'private', 'buildings', 'publishing', 'information', 'online']",collecting information accessibility private buildings publishing information online
Introduction,Filed (End of Session),Committee on Small Business,Robert F. Holden,"['small', 'business', 'services', 'conduct', 'study', 'economic', 'impact', 'film', 'television', 'production', 'businesses', 'develop', 'plan', 'mitigate', 'lost', 'revenue', 'attributable', 'filming']",small business services conduct study economic impact film television production businesses develop plan mitigate lost revenue attributable filming
Introduction,Filed (End of Session),"Committee on Environmental Protection, Resiliency and Waterfronts",Carlina Rivera,"['flood', 'evacuation', 'plans', 'tenants']",flood evacuation plans tenants
Resolution,Filed (End of Session),Committee on Transportation and Infrastructure,Kevin C. Riley,"['would', 'create', 'unlimited', 'transfers', 'within', 'period', 'paying', 'metropolitan', 'transportation', 'authority', 'subway', 'bus', 'fare', 'users']",would create unlimited transfers within period paying metropolitan transportation authority subway bus fare users
Introduction,Filed (End of Session),"Committee on Environmental Protection, Resiliency and Waterfronts",Tiffany CabÃ¡,"['feasibility', 'study', 'housing', 'adaptation', 'mobility', 'voluntary', 'residential', 'buyouts', 'related', 'support', 'services', 'residents', 'flood', 'zones']",feasibility study housing adaptation mobility voluntary residential buyouts related support services residents flood zones
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['amending', 'year', 'related', 'decision', 'planning', 'hak', 'designation', 'urban', 'development', 'action', 'area', 'urban', 'development', 'action', 'area', 'project', 'related', 'livonia', 'avenue', 'christopher', 'avenue', 'mother', 'gaston', 'boulevard', 'lots', 'livonia', 'avenue', 'sackman', 'street', 'christopher', 'avenue', 'lots', 'livonia', 'avenue', 'powell', 'street', 'sackman', 'street', 'livon']",amending year related decision planning hak designation urban development action area urban development action area project related livonia avenue christopher avenue mother gaston boulevard lots livonia avenue sackman street christopher avenue lots livonia avenue powell street sackman street livon
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'zrk', 'text', 'zoning']",modifications decision planning zrk text zoning
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['decision', 'planning', 'ulurp', 'zmk', 'zoning', 'map']",decision planning ulurp zmk zoning map
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['affirming', 'designation', 'landmarks', 'preservation', 'john', 'birks', 'gillespie', 'residence', 'avenue', 'aka', 'street', 'tax', 'map', 'designation', 'list', 'h']",affirming designation landmarks preservation john birks gillespie residence avenue aka street tax map designation list h
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['affirming', 'designation', 'landmarks', 'preservation', 'hotel', 'cecil', 'playhouse', 'building', 'west', 'street', 'aka', 'nicholas', 'avenue', 'west', 'street', 'tax', 'map', 'designation', 'list']",affirming designation landmarks preservation hotel cecil playhouse building west street aka nicholas avenue west street tax map designation list
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['affirming', 'designation', 'landmarks', 'preservation', 'nicholas', 'avenue', 'building', 'nicholas', 'avenue', 'aka', 'west', 'street', 'tax', 'map', 'designation', 'list']",affirming designation landmarks preservation nicholas avenue building nicholas avenue aka west street tax map designation list
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['affirming', 'designation', 'landmarks', 'preservation', 'firehouse', 'engine', 'company', 'company', 'belmont', 'avenue', 'tax', 'map', 'designation', 'list', 'hix']",affirming designation landmarks preservation firehouse engine company company belmont avenue tax map designation list hix
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['affirming', 'designation', 'landmarks', 'preservation', 'opera', 'house', 'east', 'street', 'tax', 'map', 'designation', 'list', 'hix']",affirming designation landmarks preservation opera house east street tax map designation list hix
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['affirming', 'designation', 'landmarks', 'preservation', 'fire', 'alarm', 'telegraph', 'bureau', 'central', 'office', 'east', 'street', 'tax', 'map', 'designation', 'list', 'hix']",affirming designation landmarks preservation fire alarm telegraph bureau central office east street tax map designation list hix
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'zrr', 'text', 'zoning']",modifications decision planning zrr text zoning
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['designation', 'changes', 'designation', 'organizations', 'receive', 'funding', 'expense', 'budget']",designation changes designation organizations receive funding expense budget
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zrk', 'coney', 'avenue', 'remica', 'group', 'zoning', 'modifying', 'appendix', 'f', 'purpose', 'mandatory', 'inclusionary', 'housing', 'area', 'community']",zrk coney avenue remica group zoning modifying appendix f purpose mandatory inclusionary housing area community
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zmk', 'coney', 'avenue', 'remica', 'group', 'sections', 'zoning', 'map', 'changing', 'within', 'proposed', 'community']",zmk coney avenue remica group sections zoning map changing within proposed community
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zrk', 'belmont', 'osborn', 'rezoning', 'osborn', 'belmont', 'properties', 'llc', 'zoning', 'modifying', 'appendix', 'f', 'purpose', 'mandatory', 'inclusionary', 'housing', 'area', 'community']",zrk belmont osborn rezoning osborn belmont properties llc zoning modifying appendix f purpose mandatory inclusionary housing area community
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zmk', 'belmont', 'osborn', 'rezoning', 'osborn', 'belmont', 'properties', 'llc', 'sections', 'zoning', 'map', 'eliminating', 'within', 'existing', 'changing', 'changing', 'within', 'proposed', 'community']",zmk belmont osborn rezoning osborn belmont properties llc sections zoning map eliminating within existing changing changing within proposed community
Resolution,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Charles Barron,"['condemning', 'federal', 'repression', 'african', 'socialist', 'party', 'uhuru', 'movem']",condemning federal repression african socialist party uhuru movem
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['concerning', 'increase', 'annual', 'expenditure', 'four', 'business', 'improvement', 'districts', 'setting', 'date', 'time', 'place', 'hearing', 'increasing', 'annual', 'expenditure', 'districts']",concerning increase annual expenditure four business improvement districts setting date time place hearing increasing annual expenditure districts
Introduction,Enacted,Committee on Finance,Justin L. Brannan,"['authorizing', 'increase', 'amount', 'expended', 'annually', 'four', 'business', 'improvement', 'districts']",authorizing increase amount expended annually four business improvement districts
Introduction,Filed (End of Session),Committee on General Welfare,Shahana K. Hanif,"['prohibiting', 'social', 'services', 'agency', 'imposing', 'length', 'shelter', 'stay', 'restrictions', 'shelter', 'type']",prohibiting social services agency imposing length shelter stay restrictions shelter type
Introduction,Filed (End of Session),Committee on Civil Service and Labor,Kevin C. Riley,"['prevailing', 'wage', 'requirement', 'covered', 'workers', 'financially', 'assisted', 'facilities']",prevailing wage requirement covered workers financially assisted facilities
Introduction,Filed (End of Session),Committee on Veterans,Robert F. Holden,"['supporting', 'veteran', 'vendors']",supporting veteran vendors
Introduction,Enacted,Committee on Finance,Justin L. Brannan,"['amending', 'plan', 'westchester', 'square', 'business', 'improvement', 'change', 'method', 'assessment', 'charge', 'based']",amending plan westchester square business improvement change method assessment charge based
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['concerning', 'plan', 'westchester', 'square', 'business', 'improvement', 'provides', 'change', 'method', 'assessment', 'charge', 'based', 'setting', 'date', 'time', 'place', 'hearing', 'authorizing', 'change']",concerning plan westchester square business improvement provides change method assessment charge based setting date time place hearing authorizing change
Introduction,Filed (End of Session),Committee on Criminal Justice,Carlina Rivera,"['board', 'access', 'recor']",board access recor
Introduction,Filed (End of Session),Committee on Criminal Justice,Keith Powers,"['board', 'access', 'camera', 'recor']",board access camera recor
Resolution,Filed (End of Session),Committee on Governmental Operations,Gale A. Brewer,[],
Introduction,Enacted,Committee on Finance,Diana I. Ayala,"['extending', 'rate', 'additional', 'tax', 'occupancy', 'hotel', 'rooms']",extending rate additional tax occupancy hotel rooms
Resolution,Filed (End of Session),Committee on Governmental Operations,Gale A. Brewer,"['assembly', 'voting', 'integrity', 'verification']",assembly voting integrity verification
Introduction,Filed (End of Session),Committee on Parks and Recreation,Kevin C. Riley,"['structurally', 'unsound', 'trees']",structurally unsound trees
Introduction,Filed (End of Session),Committee on Veterans,Robert F. Holden,"['waiving', 'permit', 'fees', 'mobile', 'food', 'unit', 'commissaries', 'reserve', 'space', 'veteran', 'vendors']",waiving permit fees mobile food unit commissaries reserve space veteran vendors
Introduction,Filed (End of Session),Committee on Governmental Operations,Gale A. Brewer,"['providing', 'survivors', 'domestic', 'violence', 'guidance', 'making', 'voter', 'registration', 'records', 'confidential', 'voting', 'special', 'ballot']",providing survivors domestic violence guidance making voter registration records confidential voting special ballot
Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Crystal Hudson,"['posting', 'signs', 'notifying', 'operators', 'bicycles', 'bicycles', 'electric', 'assist', 'electric', 'scooters', 'prohibition', 'operating', 'devices', 'sidewalks', 'park', 'walkways', 'boardwalks', 'related', 'fines', 'penalties']",posting signs notifying operators bicycles bicycles electric assist electric scooters prohibition operating devices sidewalks park walkways boardwalks related fines penalties
Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.","['g', 'xak', 'linden', 'gardens', 'article', 'xi', 'housing', 'preservation', 'development', 'article', 'xi', 'private', 'housing', 'finance', 'approval', 'taxes', 'milford', 'street', 'logan', 'street', 'lots', 'blake', 'avenue', 'lots', 'essex', 'street', 'jerome', 'street', 'barbey', 'street', 'livonia', 'avenue', 'van', 'siclen', 'avenue', 'warwick', 'st']",g xak linden gardens article xi housing preservation development article xi private housing finance approval taxes milford street logan street lots blake avenue lots essex street jerome street barbey street livonia avenue van siclen avenue warwick st
Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.","['g', 'nuk', 'linden', 'gardens', 'udaap', 'housing', 'preservation', 'development', 'article', 'general', 'municipal', 'approval', 'urban', 'development', 'action', 'area', 'project', 'udaap', 'blake', 'avenue', 'lots', 'essex', 'street', 'jerome', 'street', 'barbey', 'street', 'livonia', 'avenue', 'van', 'siclen', 'avenue', 'warwick', 'street', 'lots']",g nuk linden gardens udaap housing preservation development article general municipal approval urban development action area project udaap blake avenue lots essex street jerome street barbey street livonia avenue van siclen avenue warwick street lots
Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.","['g', 'xam', 'west', 'street', 'ancp', 'housing', 'preservation', 'development', 'article', 'general', 'municipal', 'article', 'xi', 'private', 'housing', 'finance', 'approval', 'urban', 'development', 'action', 'area', 'project', 'udaap', 'taxes', 'community']",g xam west street ancp housing preservation development article general municipal article xi private housing finance approval urban development action area project udaap taxes community
