File ,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
LU 0099-2022,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"1730 Harrison LLC.YR15.FY23, Block 2867, Lot 70, Bronx, Community District No. 5, Council District No. 14."
LU 0098-2022,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"1700 Harrison LLC.YR15.FY23, Block 2867, Lot 60, Bronx, Community District No. 5, Council District No. 14."
LU 0097-2022,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"3300 Palmer Avenue, Block 5228, Lots 12 and 41, Bronx, Community District No. 12, Council District No. 12."
T2022-1916,,Oversight,Filed,Subcommittee on COVID Recovery and Resiliency,,0,Oversight - The Gendered Impact of Long-COVID
T2022-1915,,Oversight,Filed,Committee on Women and Gender Equity,,0,Oversight - The Gendered Impact of Long-COVID
T2022-2070,,Oversight,Filed,Committee on Public Housing,,0,Oversight - Examining NYCHA’s Contracting and Hiring Process
T2022-2069,,Oversight,Filed,Committee on Contracts,,0,Oversight - Examining NYCHA’s Contracting and Hiring Process
T2022-2049,,Oversight,Filed,"Committee on Mental Health, Disabilities and Addiction",,0,Oversight - Making NYC More Accessible for Individuals and Employees with Disabilities.
T2022-2048,,Oversight,Filed,"Committee on Mental Health, Disabilities and Addiction",,0,Oversight - Pilot Buyback Program to Address Improperly Discarded Syringes and Increase Harm Reduction in NYC.
T2022-2047,,Oversight,Filed,Committee on Land Use,,0,Oversight: - The Current State of Access to Hospitals and Healthcare.
T2022-2046,,Oversight,Filed,Committee on Hospitals,,0,Oversight: - The Current State of Access to Hospitals and Healthcare.
T2022-2045,,Oversight,Filed,Committee on Health,,0,Oversight: - The Current State of Access to Hospitals and Healthcare.
T2022-2043,,Oversight,Filed,Committee on Public Safety,,0,Oversight - Community Problem-Solving Courts
T2022-2034,,Oversight,Filed,Committee on Higher Education,,0,"Oversight - Online Degree Programs: Past, Present, and Future"
T2022-2033,,Oversight,Filed,Committee on Education,,0,Oversight - Meeting the Needs of All Students with Disabilities
T2022-1996,,Oversight,Filed,Committee on Economic Development,,0,Oversight - The New York City Ferry System
T2022-1995,,Oversight,Filed,Committee on Transportation and Infrastructure,,0,Oversight - The New York City Ferry System
T2022-2026,,Oversight,Filed,Subcommittee on Zoning and Franchises,,0,Oversight - Broadband and Equal Access to the Internet in New York City.
T2022-2025,,Oversight,Filed,Committee on Technology,,0,Oversight - Broadband and Equal Access to the Internet in New York City.
LU 0103-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 220008 ZRX (Bruckner Sites Rezoning) submitted by Throggs Neck Associates, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of the Bronx, Community District 10, Council District 13."
LU 0102-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220007 ZMX (Bruckner Sites Rezoning) submitted by Throggs Neck Associates, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of the Zoning Map, Section No. 4b, eliminating from within an existing R4-1 District a C1-2 District, eliminating from within an existing R4A District a C1-2 District, eliminating from within an existing R4A District, a C2-2 District, changing from an R4-1 District to an R5B District, changing from an R4-1 District to an R6A District, changing from an R4A District to an R6A District, establishing within the propos"
LU 0101-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 210175 ZRK (2080 McDonald Avenue) submitted by Jackson Ex 2 Avenue S, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Brooklyn, Community District 11, Council District 44."
LU 0100-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 210174 ZMK (2080 McDonald Avenue) submitted by Jackson Ex 2 Avenue S, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 28c, changing from an R5B District to a C4-4L District and changing from an M1-1 District to a C4-4L District, Borough of Brooklyn, Community District 11, Council District 44."
LU 0106-2022,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number C 220340 HAM (705 10th Avenue-DEP Site) submitted by the New York City Department of Housing Preservation and Development (HPD), pursuant to Article 16 of the General Municipal Law of New York State for the designation of an Urban Development Action Area and an Urban Development Action Area Project, and pursuant to Section 197-c of the New York City Charter for the disposition of such property to a developer to be selected by HPD, for property located at 705 10th Avenue (Block 1077, Lot 29), Borough of Manhattan, Community District 4, Council District 3."
T2022-2010,,Oversight,Filed,Committee on Governmental Operations,,0,Oversight - Ranked Choice Voting Implementation and Ballot Design
Res 0315-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING A TECHNICAL CORRECTION TO RESOLUTION NUMBER 265-2022 RELATED TO THE APPOINTMENT BY THE MAYOR OF RASMIA KIRMANI-FRYE AS A MEMBER OF THE NEW YORK CITY PLANNING COMMISSION.
M 0090-2022,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,"Communication from the Mayor – Submitting the name of Sarah Carroll for its advice and consent regarding her re-appointment as Chair of the Landmarks Preservation Commission, pursuant to Sections 31 and 3020 of the City Charte"
M 0089-2022,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,"Communication from the Mayor – Submitting the name of Gail Benjamin to the Council for its advice and consent regarding her appointment to the City Planning Commission, pursuant to Sections 31 and 192 of the City Charte"
M 0088-2022,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,"Communication from the Mayor – Submitting the name of Anthony Crowell to the Council for its advice and consent regarding his appointment to the City Planning Commission, pursuant to Sections 31 and 192 of the City Charte"
M 0087-2022,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,"Communication from the Mayor – Submitting the name of Elisa Velazquez to the Council for its advice and consent regarding her appointment to the New York City Taxi and Limousine Commission, pursuant to Sections 31 and 2301 of the City Charte"
M 0086-2022,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,"Communication from the Mayor – Submitting the name of Milton L. Williams, Esq. to the Council for its advice and consent regarding his appointment to the New York City Conflicts of Interest Board, pursuant to Section 2602 of the City Charte"
T2022-1925,,Oversight,Filed,Committee on Small Business,,0,Oversight - Veteran Entrepreneurship and Public Contract Opportunities.
T2022-1924,,Oversight,Filed,Committee on Veterans,,0,Oversight - Veteran Entrepreneurship and Public Contract Opportunities.
T2022-1923,,Oversight,Filed,Committee on Civil Service and Labor,,0,Oversight - Maintaining New York City’s Municipal Workfor
T2022-1922,,Oversight,Filed,Committee on Oversight and Investigations,,0,Oversight - Maintaining New York City’s Municipal Workfor
T2022-1921,,Oversight,Filed,Committee on Sanitation and Solid Waste Management,,0,Oversight - The State of NYC Recycling
T2022-1920,,Oversight,Filed,Committee on Fire and Emergency Management,,0,Oversight - Evaluating Diversity and Inclusion in the FDNY.
T2022-1903,,Oversight,Filed,Committee on Parks and Recreation,,0,Oversight - Resiliency of the City’s Beaches and Waterfron
T2022-1902,,Oversight,Filed,Committee on Resiliency and Waterfronts,,0,Oversight - Resiliency of the City’s Beaches and Waterfron
T2022-1914,,Oversight,Filed,Committee on Governmental Operations,,0,Oversight - Examining Preparedness and Response to Public Health Emergencies.
T2022-1913,,Oversight,Filed,Committee on Fire and Emergency Management,,0,Oversight - Examining Preparedness and Response to Public Health Emergencies.
T2022-1912,,Oversight,Filed,Committee on Environmental Protection,,0,Oversight - Renewable Energy and New York City’s Climate Adaptatio
T2022-1911,,Oversight,Filed,Committee on Aging,,0,Oversight - Improving Older New Yorkers’ Access to City Service
M 0083-2022,,Communication,"Received, Ordered, Printed and Filed",City Council,,0,"Communication from the Commissioner of the NYC Department of Investigation – Notification to the Speaker of the Council, pursuant to Local Law 70 of 2013, of the appointment of Charles M. Guria as the DOI’s Inspector General for the NYPD starting Monday, September 12, 2"
Int 0602-2022,2022/091,Introduction,Enacted,Committee on Public Safety,Adrienne E. Adams,19,"A Local Law to amend the administrative code of the city of New York, in relation to determining and identifying the area commonly known as Times Square"
Res 0283-2022,,Resolution,Adopted,Committee on Education,Adrienne E. Adams,36,"Resolution calling on the Mayor and the Chancellor of the Department of Education (DOE) to immediately reverse the DOE’s reductions to school budgets; calling on the Chancellor to submit updated school budgets to the Panel for Educational Policy reflecting the restoration, as well as an accounting of unspent federal stimulus funds; and calling on the Mayor to promptly utilize any unspent and unallocated federal stimulus or other funds and submit a budget modification to the Council to fully restore the $469 million removed from school budgets by DO"
Res 0292-2022,,Resolution,Adopted,Committee on Transportation and Infrastructure,Selvena N. Brooks-Powers,13,"Resolution calling on the New York State Legislature to pass, and the New York State Governor to sign, S.5320/A.9731, which would amend the administrative code of the city of New York to allow commuter vans to accept hails from prospective passengers in the street, and would repeal certain provisions of law relating thereto."
Int 0610-2022,2022/125,Introduction,Enacted,Committee on Education,Erik D. Bottcher,32,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of education to provide information on the local 988 suicide and crisis lifeline and other related resources"
Int 0609-2022,2022/124,Introduction,Enacted,"Committee on Mental Health, Disabilities and Addiction",Diana I. Ayala,24,"A Local Law to amend the administrative code of the city of New York, in relation to establishing a needle, syringe, and sharps buyback pilot program"
Res 0288-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,Resolution approving the new designation and changes in the designation of certain organizations to receive funding in the Expense Budget.
T2022-1872,,Oversight,Filed,Committee on Health,,0,Oversight - Monkeypox Virus (MPV) in New York City.
M 0085-2022,,Land Use Call-Up,Adopted,City Council,"Rafael Salamanca, Jr.",1,"By The Chair of the Land Use Committee (Council Member Salamanca) Pursuant to Sections 11.20(b-d) of the Council Rules and Section 197-d(b)(3) of the New York City Charter, the Council hereby resolves that the action of the City Planning Commission on Application No. C 220357 PQX (2017 Grand Concourse) shall be subject to Council review. This item is related to Application No. C 220356 HAX."
LU 0093-2022,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number C 220357 PQX (2017 Grand Concourse) submitted by the Department of Housing Preservation and Development (HPD), pursuant to Section 197-c of the New York City Charter, for the acquisition of property located at 2017 Grand Concourse (Block 2808, Lot 90), to facilitate the development of a new nine-story affordable housing building containing approximately 33 affordable housing units, Borough of the Bronx, Community District 5, Council District 14."
LU 0092-2022,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number C 220356 HAX (2017 Grand Concourse) submitted by the Department of Housing Preservation and Development (HPD), pursuant to Article 16 of the General Municipal Law of New York State for the designation of an Urban Development Action Area and an Urban Development Action Area Project, and pursuant to Section 197-c of the New York City Charter for the disposition of such property to a developer to be selected by HPD, for property located at 2017 Grand Concourse (Block 2808, Lot 90), Borough of the Bronx, Community District 5, Council District 14."
M 0084-2022,,Land Use Call-Up,Adopted,City Council,"Rafael Salamanca, Jr.",1,"By The Chair of the Land Use Committee (Council Member Salamanca) Pursuant to Sections 11.20(b-d) of the Council Rules and Section 197-d(b)(3) of the New York City Charter, the Council hereby resolves that the actions of the City Planning Commission on Application Nos. C 220198 ZSQ, C 220206 MMQ, and N 220353 ZAQ (Halletts North) shall be subject to Council review. These items are related to Application Nos. C 220196 ZMQ and N 220197 ZRQ."
LU 0096-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 220353 ZAQ (Halletts North) submitted by Astoria Owners, LLC, for the grant of an authorization pursuant to Section 62-822(a) of the Zoning Resolution to modify the requirements of Section 62-50 (General Requirements for Visual Corridors and Waterfront Public Access Areas) for location, area and minimum dimensions of waterfront public access areas and visual corridor, in connection with a proposed mixed use development, within a general large-scale development, on property generally bounded by the northwesterly streetline of the former 3rd Street, the U.S. Pierhead and Bul"
LU 0095-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220206 MMQ (Halletts North) submitted by Astoria Owners, LLC, pursuant to Sections 197-c and 199 of the New York City Charter for an amendment to the City Map involving: the elimination of 3rd Street within the area bounded by 8th Street, 26th Avenue, 2nd Street and the U.S Pierhead and Bulkhead line; the adjustment of grades and block dimensions necessitated thereby; and authorization for any acquisition or disposition of real property related thereto, in accordance with Map No. 5037 dated March 14, 2022 and signed by the Borough President, Borough of Queens, Community Di"
LU 0094-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220198 ZSQ (Halletts North) submitted by Astoria Owners, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for the grant of a special permit pursuant to the Section 62-837(a) of the Zoning Resolution to modify the height and setback, the maximum residential tower size and the maximum width of walls facing the shoreline requirements of Section 62-34 (Height and Setback Regulations on Waterfront Blocks), in connection with a proposed mixed use development, within a general large-scale development, on property generally bounded by the westerly streetline of"
Res 0303-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP Application No. C 220223 PQM, for the acquisition of property located at 806 9th Avenue (Block 1044, Lot 3), to facilitate the expansion of Metropolitan Transportation Authority’s New York City Transit operations, Borough of Manhattan, Community District 4 (L.U. No. 77; C 220223 PQM"
Res 0302-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on Application No. C 220222 PPM, for the disposition of city-owned property (L.U. No. 76)."
Res 0301-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 220221(A) ZSM, for the grant of a special permit (L.U. No. 75)."
Res 0300-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 220220 ZMM, a Zoning Map amendment (Preconsidered L.U. No. 74)."
Res 0299-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on Application No. N 220219 ZRM, for an amendment of the text of the Zoning Resolution (Preconsidered L.U. No. 73)."
Res 0298-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on Application No. N 220204 ZRX, for an amendment of the text of the Zoning Resolution (Preconsidered L.U. No. 87)."
Res 0297-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 220203 ZMX, a Zoning Map amendment (Preconsidered L.U. No. 86)."
Int 0600-2022,2022/082,Introduction,Enacted,Committee on Finance,Adrienne E. Adams,3,"A Local Law to amend the administrative code of the city of New York, in relation to a rebate against real property taxes for certain owners of real property"
T2022-1839,,Oversight,Filed,Committee on Technology,,0,Oversight - Failures of NYCs Technological Response Under Critical Demand.
T2022-1838,,Oversight,Filed,Committee on General Welfare,,0,Oversight - Long-standing NYC Shelter Intake Issues and the Recent Increase in Asylum Seekers.
T2022-1836,,Oversight,Filed,Committee on Environmental Protection,,0,"Oversight - Sinkholes, Flooding and Heatwaves: Infrastructure Challenges in the Face of Extreme Weather."
T2022-1835,,Oversight,Filed,Committee on Resiliency and Waterfronts,,0,"Oversight - Sinkholes, Flooding and Heatwaves: Infrastructure Challenges in the Face of Extreme Weather."
T2022-1834,,Oversight,Filed,Committee on Transportation and Infrastructure,,0,"Oversight - Sinkholes, Flooding and Heatwaves: Infrastructure Challenges in the Face of Extreme Weather."
LU 0091-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 220197 ZRQ (Halletts North) submitted by Astoria Owners LLC pursuant to Section 201 of the New York City Charter for an amendment to the Zoning Resolution of the City of New York, modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Queens, Community District 1, Council District 22."
LU 0090-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220196 ZMQ (Halletts North) submitted by Astoria Owners LLC pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of the Zoning Map, Section No. 9a, changing from an M1-1 District to an R7-3 District; and establishing within the proposed R7-3 District a C2-4 District; Borough of Queens, Community District 1, Council District 22."
LU 0089-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 210394 ZMQ (231-06 Northern Boulevard Commercial Overlay) submitted by Kenfa Madison LLC pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 11a, establishing within an existing R1-2 District a C2-2 District, Borough of Queens, Community District 11, Council District 19."
LU 0088-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220171 ZMX (1959 Strang Avenue Rezoning) submitted by 1959 Strang Ave LLC pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 2b, by establishing within an existing R4 District a C2-3 District, Borough of the Bronx, Community District 12, Council District 12."
LU 0087-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 220204 ZRX (1810 Randall Avenue Rezoning) submitted by Second Pentecostal Church of God La Hermosa and Vertical Community Development, LLC pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of the Bronx, Community District 9, Council District 18."
LU 0086-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220203 ZMX (1810 Randall Avenue Rezoning) submitted by Second Pentecostal Church of God La Hermosa and Vertical Community Development, LLC pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of the Zoning Map, Section No. 7a, eliminating from within an existing R4A District a C1-2 District; eliminating from within an existing R5 District to a C1-2 District; changing from an R4A District to an R6 District; and changing from an R5 District to an R6 District; Borough of the Bronx, Community District 9, Council District 18."
Res 0269-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE COUNCIL OF NGOZI OKARO AS A MEMBER OF THE EQUAL EMPLOYMENT PRACTICES COMMISSION.
Res 0268-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE COUNCIL OF NICOLE YEARWOOD AS A MEMBER OF THE EQUAL EMPLOYMENT PRACTICES COMMISSION.
Res 0267-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE BROOKLYN BOROUGH PRESIDENT OF JUAN CAMILO OSORIO AS A MEMBER OF THE NEW YORK CITY PLANNING COMMISSION.
M 0079-2022,,Communication,"Received, Ordered, Printed and Filed",City Council,,0,"Communication from the Office of Management and Budget – Submitting the Declaration of Capital Financing Need, pursuant to Section 2799-ff of the New York City Transitional Finance Authority Ac"
Int 0586-2022,,Introduction,Vetoed,Committee on Public Safety,Public Advocate Jumaane Williams,30,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the police department to report on police-civilian investigative encounters"
Res 0258-2022,,Resolution,Adopted,Committee on Environmental Protection,James F. Gennaro,14,"Resolution calling upon the Governor to ensure that appropriations of funds from the Clean Water, Clean Air, and Green Jobs Environmental Bond Act of 2022 are allocated to New York City in a manner that is commensurate with the city’s contribution to statewide tax revenu"
Res 0266-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF Christine YoonAS A MEMBER OF THE NEW YORK CITY BOARD OF STANDARDS AND APPEALS
Res 0265-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF RASMIA KIRMANI-FRYEAS A MEMBER OF THE NEW YORK CITY PLANNING COMMISSION.
Res 0264-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF DAVID GOLD AS A MEMBER OF THE NEW YORK CITY PLANNING COMMISSION.
Res 0255-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,Resolution approving the new designation and changes in the designation of certain organizations to receive funding in the Expense Budget.
Res 0263-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the site plan for a new, approximately 696-Seat Primary School Facility, located at 160 Van Cortlandt Park South (Block 3271, p/o Lot 150), Community District 8, Borough of the Bronx (Non-ULURP No. G 220016 SCX; Preconsidered L.U. No. 85)."
Res 0262-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 200317 ZMK, a Zoning Map amendment (Preconsidered L.U. No. 78)."
Res 0276-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,Resolution approving the Second Amendment to the Edgemere Urban Renewal Plan for the Edgemere Urban Renewal Area and approving the decision of the City Planning Commission on ULURP No. C 220237 HUQ (L.U. No. 71).
Res 0275-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the application submitted by the New York City Department of Housing Preservation and Development (“HPD”) and the decision of the City Planning Commission, ULURP No. C 220236 HAQ, approving the designation of an Urban Development Action Area, an Urban Development Action Area Project, and the disposition of properties located at Block 15852, Lots 64 and 68; Block 15851, Lots 33, 35, 40 42, 44, 58, and 59; Block 15850, Lot 6; Block 15849, Lots 6, 8, 9, 10, 17, 18, 19, 20, 27, 28, and 29; Block 15848, Lots 52, 54, 55, 57, 58, 60, 62, 63, 65, and 67; Block 15847, Lots 79,"
Res 0274-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on Application No. C 220235 PPQ, for the disposition of city-owned properties (L.U. No. 69)."
Res 0273-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on Application No. N 220233 ZRQ, for an amendment of the text of the Zoning Resolution (L.U. No. 68)."
Res 0272-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 220232 ZMQ, a Zoning Map amendment (L.U. No. 67)."
Res 0261-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving an Urban Development Action Area Project and waiving the urban development action area designation requirement and the Uniform Land Use Review Procedure pursuant to Article 16 of the General Municipal Law, and approving a real property tax exemption pursuant to Article XI of the Private Housing Finance Law for property located at 494 Manhattan Avenue (Block 1947, Lot 118), 321 West 116 Street (Block 1943, Lot 18), 231 West 116 Street (Block 1922, Lot 14), 357 West 115 Street (Block 1849, Lot 27), and 34 Morningside Avenue (Block 1944, Lot 4), Borough of Manhattan, Communit"
LU 0085-2022,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number G 220016 SCX (Approximately 696-Seat Primary School Facility) pursuant to Section 1732 of the New York School Construction Authority Act, concerning the proposed site selection for a new, approximately 696-seat primary school facility, located at 160 Van Cortlandt Park South (Block 3271, p/o Lot 150), Borough of the Bronx, Community District 8, Council District 11, Community School District 10."
Res 0282-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on Application No. N 210376 ZRQ, for an amendment of the text of the Zoning Resolution (Preconsidered L.U. No. 84)."
Res 0281-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 210375 ZMQ, a Zoning Map amendment (Preconsidered L.U. No. 83)."
Res 0280-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on Application No. N 210235 ZRQ, for an amendment of the text of the Zoning Resolution (Preconsidered L.U. No. 82)."
Res 0279-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 210234 ZMQ, a Zoning Map amendment (Preconsidered L.U. No. 81)."
Res 0278-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on Application No. N 210129 ZRQ, for an amendment of the text of the Zoning Resolution (Preconsidered L.U. No. 80)."
Res 0277-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 210128 ZMQ, a Zoning Map amendment (Preconsidered L.U. No. 79)."
M 0082-2022,,Communication,Adopted,"Committee on Rules, Privileges and Elections",,0,"Ngozi Okaro, Council candidate for appointment to the Equal Employment Practices Commission."
M 0081-2022,,Communication,Adopted,"Committee on Rules, Privileges and Elections",,0,"Nicole Yearwood, Council candidate for appointment to the Equal Employment Practices Commission."
M 0080-2022,,Communication,Adopted,"Committee on Rules, Privileges and Elections",,0,"Communication from the Brooklyn Borough President - Submitting the name of Juan Camilo Osorio, to the Council for its advice and consent regarding his appointment to the City Planning Commission, pursuant to Section 192 of the New York City Charter."
T2022-1703,,Oversight,Filed,Committee on Housing and Buildings,,0,Oversight - “Housing Our Neighbors”: A First Look at the Mayor’s Housing
T2022-1690,,Oversight,Filed,Committee on Oversight and Investigations,,0,Oversight - Fiscal 2023 DOE School Budgets
T2022-1689,,Oversight,Filed,Committee on Education,,0,Oversight - Fiscal 2023 DOE School Budgets
T2022-1688,,Oversight,Filed,Committee on Criminal Justice,,0,Oversight - Rikers Island Interagency Task Force
T2022-1685,,Oversight,Filed,Committee on Transportation and Infrastructure,,0,Oversight - Managing the City's Public Space.
Res 0254-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MANHATTAN BOROUGH PRESIDENT OF LEILA BOZORG AS A MEMBER OF THE NEW YORK CITY PLANNING COMMISSION.
LU 0076-2022,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number C 220222 PPM (The Lirio – 806 9th Avenue) submitted by the Department of Housing Preservation and Development (HPD), pursuant to Section 197-c of the New York City Charter, for the disposition of city owned property located at 806 9th Avenue (Block 1044, Lot 3), to facilitate a building containing approximately 111 affordable and supportive housing units, and community facility and retail space, Borough of Manhattan, Community District 4, Council District "
M 0077-2022,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,Communication from the Mayor - Submitting the name of Christine Yoon for appointment as a member of the New York City Board of Standards and Appeals pursuant to §§ 31 and 659 of the New York City Charte
M 0076-2022,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,Communication from the Mayor - Submitting the name of Rasmia Kirmani-Frye for appointment as a member of the New York City Planning Commission pursuant to §192 of the New York City Charter
M 0075-2022,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,Communication from the Mayor - Submitting the name of David Gold for appointment as a member of the New York City Planning Commission pursuant to §192 of the New York City Charter
