File ,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
LU 0240-2023,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 230042 ZRQ (Ocean Crest Rezoning) submitted TCB Beach Channel Drive Limited Partnership, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Queens, Community District 14, Council District 31."
LU 0239-2023,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 230041 ZMQ (Ocean Crest Rezoning) submitted by TCB Beach Channel Drive Limited Partnership, pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of the Zoning Map, Section No. 31a, by changing from an R4-1 District to an R6A District, Borough of Queens, Community District 14, Council District 31."
Int 1100-2023,,Introduction,Filed (End of Session),Committee on Parks and Recreation,Gale A. Brewer,16,"A Local Law to amend the administrative code of the city of New York, in relation to composting plant waste in parks"
Int 1104-2023,,Introduction,Filed (End of Session),Committee on Small Business,Julie Menin,4,"A Local Law in relation to establishing a small business security measures pilot program, and providing for the repeal of such provisions upon the expiration thereof"
Int 1098-2023,,Introduction,Filed (End of Session),Committee on Health,Shaun Abreu,14,"A Local Law to amend the administrative code of the city of New York, in relation to the development and distribution of materials on the risks of keeping a gun in the home"
Res 0694-2023,,Resolution,Adopted,Committee on Civil Service and Labor,Carmen N. De La Rosa,34,Resolution calling upon the Alliance of Motion Pictures and Television Producers to engage in good faith negotiations that will result in a fair contract for all Writers Guild of America members.
Int 1105-2023,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Chi A. Oss�,30,"A Local Law to amend the administrative code of the city of New York, in relation to the fees charged in a residential rental real estate transaction"
Int 1103-2023,2023/137,Introduction,Enacted,Committee on Small Business,Julie Menin,18,"A Local Law to amend the administrative code of the city of New York, in relation to information on loans and grants for small businesses"
Int 1114-2023,,Introduction,Filed (End of Session),Committee on Criminal Justice,Lincoln Restler,14,"A Local Law to amend the administrative code of the city of New York, in relation to notifying emergency contacts and attorney of record when an individual in custody attempts suicide, is hospitalized, or is seriously injured"
Int 1099-2023,,Introduction,Filed (End of Session),Committee on Civil Service and Labor,Charles Barron,18,"A Local Law to amend the administrative code of the city of New York, in relation to protecting the health care choice of retired employees of the city of New York"
Res 0695-2023,,Resolution,Filed (End of Session),Committee on Consumer and Worker Protection,Julie Menin,3,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, S.364 related to high-volume third-party sellers in online marketplaces."
Int 1117-2023,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Pierina Ana Sanchez,9,"A Local Law to amend the administrative code of the city of New York, in relation to the posting of information relating to wage theft at construction sites"
Int 1115-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Lincoln Restler,2,"A Local Law to amend the administrative code of the city of New York, in relation to establishing penalties for alternate side parking violations and requiring towing of certain vehicles in violation of alternate side parking rules."
Int 1106-2023,,Introduction,Filed (End of Session),Committee on Civil Service and Labor,Public Advocate Jumaane Williams,6,"A Local Law to amend the administrative code of the city of New York, in relation to requiring city employers to provide earned personal time to employees"
Int 1110-2023,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Public Advocate Jumaane Williams,1,"A Local Law to amend the New York city building code and administrative code of the city of New York, in relation to boarders, lodgers or roomers in a private dwelling"
Res 0697-2023,,Resolution,Filed (End of Session),Committee on Housing and Buildings,Public Advocate Jumaane Williams,5,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign A.3148/ S.6776, in relation to prohibiting the rent guidelines board from increasing rents on one year leases during a state disaster emergency."
Int 1111-2023,,Introduction,Filed (End of Session),Committee on Public Safety,Public Advocate Jumaane Williams,6,"A Local Law to amend the administrative code of the City of New York, in relation to requiring police officers to treat breathing difficulties as medical emergencies"
Int 1113-2023,,Introduction,Filed (End of Session),Committee on Technology,Public Advocate Jumaane Williams,6,"A Local Law to amend the administrative code of the city of New York, in relation to 311 transmitting image and video data for housing service requests or complaints"
Int 1109-2023,,Introduction,Filed (End of Session),Committee on Fire and Emergency Management,Public Advocate Jumaane Williams,3,A Local Law in relation to the creation of a state of emergency response and recovery task force
Int 1116-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,"Rafael Salamanca, Jr.",8,"A Local Law to amend the administrative code of the city of New York, in relation to towing vehicles that are an encumbrance on the street or that lack, improperly display, or obscure valid license plates, registration stickers, inspection stickers, or vehicle identification numbers"
Int 1112-2023,,Introduction,Filed (End of Session),Committee on Public Safety,Public Advocate Jumaane Williams,5,"A Local Law to amend the administrative code of the city of New York, in relation to the use of conducted electrical weapons by the police department"
Int 1108-2023,,Introduction,Filed (End of Session),Committee on Education,Public Advocate Jumaane Williams,3,A Local Law in relation to the department of education reporting on school reopening plans to the commissioner of health and mental hygiene
Res 0696-2023,,Resolution,Filed (End of Session),Committee on Economic Development,Public Advocate Jumaane Williams,3,"Resolution calling on the State Legislature to pass, and the Governor to sign, S.2770/A.1971, which would establish tiers of essential employees during a state of emergency."
Int 1107-2023,,Introduction,Filed (End of Session),Committee on Contracts,Public Advocate Jumaane Williams,5,"A Local Law to amend the administrative code of the city of New York, in relation to requiring a specification for hazard pay in solicitations for certain emergency procurements made during a state of emergency related to the outbreak of a communicable disease"
LU 0236-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Flatbush Gardens, Block 4964, Lots 40 and 47; Block 4967, Lot 40; Block 4981, Lots 1 and 50; Block 4995, Lot 30; Block 5000, Lot 200, Brooklyn, Community District No. 17, Council District No. 45."
Res 0693-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution to establish that the interest rate be eight percent per annum for Fiscal Year 2024 for non-payment of taxes on properties with an assessed value of more than $250,000 but less than or equal to $450,000, or more than $250,000 but less than or equal to $450,000 per residential unit for cooperative apartments."
Res 0692-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution to establish that the interest rate be fifteen percent per annum for Fiscal Year 2024 for non-payment of taxes on properties with an assessed value of more than $450,000, or more than $450,000 per residential unit for cooperative apartments."
Res 0691-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution to establish that the interest rate be five percent per annum for Fiscal Year 2024 for non-payment of taxes on properties with an assessed value of not more than $250,000, or not more than $250,000 per residential unit for cooperative apartments."
Res 0690-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution to establish that the interest rate be two percent per annum for Fiscal Year 2024 for certain properties for which the owner has entered into an installment payment agreement with the department of finance for payment of delinquent property taxes, assessments or other charges."
LU 0235-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"2460 Davidson Ave.HPO.FY23, Block 3200, Lot 1, Bronx, Community District No. 7, Council District No. 14."
LU 0234-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"1988 Newbold Ave.HPO.FY23, Block 3794, Lot 34, Bronx, Community District No. 9, Council District No. 18."
LU 0233-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"McKinley Phase II.HPO.FY23, Block 2615, Lot 53; Block 2663, Lot 31, Bronx, Community District No. 3, Council Districts No. 16 and 17."
LU 0232-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"McKinley Square Phase I.HPO.FY23, Block 2615, Lots 48 and 50; Block 2662, Lot 23; Block 2663, Lots 7, 9, and 13, Bronx, Community District No. 3, Council Districts No. 16 and 17."
T2023-3737,,Oversight,Filed,Committee on Hospitals,,0,Oversight - Older Adults Living with HIV
LU 0238-2023,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 220286 ZRK (1656 West 10th Street Rezoning), submitted by Allstar Homecare Agency, Inc. pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area. Borough of Brooklyn, Community District 11, Council District 44."
LU 0237-2023,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220285 ZMK (1656 West 10th Street Rezoning), submitted by Allstar Homecare Agency, Inc. pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 22d, changing from an R5B District to an R6A District Borough of Brooklyn, Community District 11, Council District 44."
Res 0689-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2071, Lot 56; Block 2073, Lot 43; Block 2074, Lots 25 and 30; Block 2077, Lots 12 and 13) Manhattan, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 229)."
Res 0688-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 4506, Lots 1 and 40) Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 228)."
Res 0687-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 4068, Lot 1) Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 227)."
Res 0686-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2330, Lot 16) Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 226)."
Res 0685-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2603, Lot 1002), Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 225)."
Res 0684-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2784, Lot 10), Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 224)."
Res 0683-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2504, Lot 105), Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 223)."
Res 0682-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2529, Lot 63), Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 222)."
Res 0681-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2506, Lot 33; Block 2800, Lot 68), Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 221)."
Res 0680-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2506, Lot 121; Block 2514, Lot 50), Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 220)."
Res 0679-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 3118, Lots 36, 39, and 56) Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 219)."
Res 0678-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2947, Lot 40; Block 3129, Lots 1 and 4), Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 218)."
Res 0677-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 3134, Lots 14 and 20), Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 217)."
Res 0676-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 3054, Lot 6; Block 3287, Lot 43), Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 216)."
Res 0675-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2002, Lots 19, 21, 22, 24, and 26), Manhattan, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 215)."
Res 0674-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2014, Lots 14, 16, and 18), Manhattan, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 214)."
Res 0673-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2034, Lot 29) Manhattan, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 213)."
Res 0672-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 3446, Lot 1) Brooklyn, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 212)."
LU 0231-2023,,Land Use Application,Disapproved,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 210323 MMQ (43rd Avenue Demapping) submitted by Anthony Lim, pursuant to Sections 197-c and 199 of the New York City Charter and Section 5-430 et seq. of the New York City Administrative Code for an amendment to the City Map involving: the elimination, discontinuance and closing of a portion of 43rd Avenue between 222nd Street and 223rd Street; the adjustment of grades and block dimensions necessitated thereby; and authorization for any acquisition or disposition of real property related thereto, in accordance with Map No. 5036 dated June 21, 2022, and signed by the Borou"
LU 0230-2023,,Land Use Application,Filed,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220218 ZMQ (189-10 Northern Boulevard Commercial Overlay) submitted by Prince St. 606, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of the Zoning Map, Section No. 10d, changing from an R3X District to an R3-2 District and establishing within the existing and proposed R3-2 District a C2-3 District, Borough of Queens, Community District 11, Council District 19."
Int 1096-2023,,Introduction,Filed (End of Session),Committee on General Welfare,Althea V. Stevens,7,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of homeless services to designate eligibility specialists at shelters"
Int 1097-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Sandra Ung,6,"A Local Law to amend the administrative code of the city of New York, in relation to limiting the parking of motor vehicles by dealers."
Int 1095-2023,,Introduction,Filed (End of Session),Committee on Immigration,Lynn C. Schulman,8,"A Local Law in relation to requiring at least one mental health coordinator at any location where refugees, asylees, and migrants receive services from city agencies or providers upon their arrival in the city of New York"
Res 0671-2023,,Resolution,Filed (End of Session),Committee on Criminal Justice,Lincoln Restler,6,"Resolution calling on the New York Legislature to pass, and the Governor to sign, S00313/A04183, which would eliminate court, probation, and parole surcharges & fees as well as prohibit mandatory minimum fines for penal and vehicle & traffic laws."
Res 0669-2023,,Resolution,Filed (End of Session),Committee on Criminal Justice,Public Advocate Jumaane Williams,19,"Resolution expressing a loss of confidence in the New York City Department of Correction to safely manage the New York City jails, and further resolving that the immediate appointment of a receiver is necessary."
Res 0670-2023,,Resolution,Filed (End of Session),Committee on Criminal Justice,Public Advocate Jumaane Williams,9,"Resolution calling on the New York State Legislature to pass and the Governor to sign Senate Bill S.5755/A.699, which would ensure all people in custody have the right to vote and require the Department of Corrections and Community Supervision to collaborate state and local board of elections to facilitate voter registration and voting among all incarcerated people."
Int 1093-2023,,Introduction,Filed (End of Session),Committee on Criminal Justice,Public Advocate Jumaane Williams,10,"A Local Law to amend the administrative code of the city of New York, in relation to requiring a report on voter registration in city jails"
Int 1092-2023,,Introduction,Filed (End of Session),Committee on Criminal Justice,Public Advocate Jumaane Williams,11,"A Local Law to amend the administrative code of the city of New York, in relation to the application for New York city identity cards by incarcerated persons"
Int 1090-2023,,Introduction,Filed (End of Session),Committee on Finance,Keith Powers,4,"A Local Law to amend the administrative code of the city of New York, in relation to suspending the tax imposed by chapter 24 of title 11 of such code for the tax year beginning on June 1, 2023"
Int 1088-2023,,Introduction,Filed (End of Session),Committee on General Welfare,Chi A. Oss�,14,"A Local Law to amend the administrative code of the city of New York, in relation to quarterly reports on shelters for LGBTQ single adults"
Int 1087-2023,,Introduction,Filed (End of Session),Committee on General Welfare,Chi A. Oss�,14,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of social services to create shelters for LGBTQ single adults in every borough"
Int 1089-2023,,Introduction,Filed (End of Session),Committee on General Welfare,Chi A. Oss�,13,"A Local Law to amend the New York City charter, in relation to establishing an office to address LGBTQ homelessness"
Int 1086-2023,,Introduction,Filed (End of Session),Committee on General Welfare,Chi A. Oss�,14,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the administration for children’s services to report annually on the number of and placement of LGBTQ+ foster you"
Int 1091-2023,,Introduction,Filed (End of Session),Committee on Health,Public Advocate Jumaane Williams,11,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of health and mental hygiene to provide menstrual hygiene products for the city university of New York to make available on campus"
Int 1085-2023,,Introduction,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Sandy Nurse,17,"A Local Law to amend the New York city charter and the administrative code of the city of New York, in relation to public art and school names"
Int 1084-2023,2023/158,Introduction,Enacted,Committee on Immigration,Mercedes Narcisse,15,"A Local Law to amend the administrative code of the city of New York, in relation to creating training on trauma-informed care for persons serving refugees, asylees, asylum seekers, and migrants"
Res 0668-2023,,Resolution,Filed (End of Session),Committee on Education,Francisco P. Moya,7,"Resolution calling on the New York State Legislature to pass, and the Governor to sign legislation requiring the New York City Department of Education to establish a pilot program for the purpose of providing frozen take-home meals to certain children located in the City of New York."
Res 0667-2023,,Resolution,Filed (End of Session),Committee on Hospitals,Julie Menin,8,Resolution calling on the federal government to create a national database compiling hospital audited financial statements
Int 1083-2023,2023/152,Introduction,Enacted,Committee on Small Business,Julie Menin,5,"A Local Law to amend the New York city charter, in relation to the establishment of the office of nightlife"
Int 1082-2023,,Introduction,Filed (End of Session),Committee on Civil and Human Rights,Farah N. Louis,24,A Local Law in relation to creating a task force to consider the impact of slavery and past injustices for African Americans in New York city and reparations for such injustices
Int 1080-2023,2023/136,Introduction,Enacted,Committee on General Welfare,Linda Lee,21,"A Local Law to amend the administrative code of the city of New York, in relation to the publication and dissemination of information on emergency feeding programs, food benefits programs, and senior centers"
Int 1078-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Shekar Krishnan,18,"A Local Law to amend the administrative code of the city of New York, in relation to the wrongful deactivation of high-volume for-hire vehicle drivers"
Int 1081-2023,,Introduction,Filed (End of Session),Committee on Civil and Human Rights,Farah N. Louis,7,A Local Law in relation to requiring the department of social services to prepare and submit a plan to address economic empowerment for shelter residents
Res 0666-2023,,Resolution,Filed (End of Session),Committee on Public Housing,Ari Kagan,1,Resolution calling on the New York City Housing Authority to cap the transfer process for victims of domestic violence with an order of protection to 90 days.
Int 1079-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Shekar Krishnan,14,"A Local Law to amend the administrative code of the city of New York, in relation to taxicab driver pay for electronically dispatched taxicab trips"
Int 1077-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Rita C. Joseph,27,A Local Law in relation to a capital plan and timeline for installing public bathrooms
Res 0665-2023,,Resolution,Filed (End of Session),Committee on Health,Crystal Hudson,6,"Resolution calling upon the New York State legislature to pass, and the Governor to sign, legislation that would establish the medical debt relief fund and allow taxpayers to make a donation to such fund on their personal tax returns."
Int 1076-2023,,Introduction,Filed (End of Session),Committee on Governmental Operations,Rita C. Joseph,26,"A Local Law to amend the administrative code of the city of New York, in relation to making certain bathrooms in city facilities available for public use"
Res 0664-2023,,Resolution,Filed (End of Session),Committee on Civil and Human Rights,Crystal Hudson,11,"Resolution calling on Congress to pass, and the President to sign, S. Res. 144/H. Res. 269, recognizing the duty of the Federal Government to develop and implement a Transgender Bill of Rights to protect and codify the rights of transgender and nonbinary people under the law and ensure their access to medical care, shelter, safety, and economic security."
Int 1075-2023,,Introduction,Filed (End of Session),Committee on Education,Rita C. Joseph,16,"A Local Law to amend the New York city charter and the administrative code of the city of New York, in relation to requiring the New York city department of education to report actual class sizes and expand reports on the amount of students in special programs in New York city public schools"
Res 0663-2023,,Resolution,Filed (End of Session),Committee on Criminal Justice,Crystal Hudson,6,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, legislation repealing all provisions of law that require most counties to maintain a jail."
Int 1072-2023,,Introduction,Filed (End of Session),Committee on General Welfare,Crystal Hudson,8,"A Local Law to amend the administrative code of the city of New York, in relation to shelter referrals and assessments for temporary housing assistance"
Int 1073-2023,,Introduction,Filed (End of Session),Committee on Civil and Human Rights,Crystal Hudson,17,"A Local Law to amend the administrative code of the city of New York, in relation to the creation of a truth, healing, and reconciliation process"
Int 1074-2023,2023/120,Introduction,Enacted,Committee on Health,Crystal Hudson,15,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the use of city resources to enforce restrictions on gender-affirming care"
Int 1070-2023,2023/166,Introduction,Enacted,Committee on Finance,Jennifer Gutiérre,2,"A Local Law to amend the administrative code of the city of New York, in relation to a biotechnology credit against the general corporation tax, the unincorporated business tax, and the corporate tax of 2015."
Int 1069-2023,,Introduction,Filed (End of Session),"Committee on Environmental Protection, Resiliency and Waterfronts",James F. Gennaro,17,"A Local Law to amend the administrative code of the city of New York, in relation to requiring testing at city waterfronts for harmful substances in the water and the posting of results online"
Int 1071-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Robert F. Holden,7,"A Local Law to amend the administrative code of the city of New York, in relation to the timelines for the removal of abandoned or unsafe utility poles, wires, and appurtenances, and the transfer of appurtenances to newly erected poles"
Res 0662-2023,,Resolution,Filed (End of Session),Committee on Immigration,Shahana K. Hanif,12,Resolution calling upon the President of the United States and the Secretary of the Department of Homeland Security to grant Temporary Protected Status (TPS) and Special Student Relief (SSR) to those impacted by catastrophic flooding in Pakistan who are now living in the United States.
Int 1068-2023,,Introduction,Filed (End of Session),Committee on Civil and Human Rights,Tiffany Cabá,8,"A Local Law to amend the administrative code of the city of New York, in relation to the rights of persons who engage in sex work"
Int 1064-2023,,Introduction,Filed (End of Session),Committee on General Welfare,Erik D. Bottcher,11,"A Local Law to amend the administrative code of the city of New York, in relation to monitoring and evaluating homelessness prevention and aftercare programs"
Int 1067-2023,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Selvena N. Brooks-Powers,7,"A Local Law to amend the administrative code of the city of New York, in relation to the prohibition of non-compete agreements"
M 0162-2023,,Land Use Call-Up,Adopted,City Council,Vickie Paladino,1,"By Council Member Paladino Pursuant to Sections 11.20b and 11.20c of the Council Rules and Section 197-d(b)(3) of the New York City Charter, the Council hereby resolves that the action of the City Planning Commission on Uniform Land Use Review Procedure application C 210323 MMQ (43rd Avenue Demapping) shall be subject to Council review."
M 0161-2023,,Communication,"Received, Ordered, Printed and Filed",City Council,,0,"Communication from the Richmond County Democratic Committee - Submitting Certificate of Recommendation for Deborah L. Rose, for appointment as Richmond County Democratic Commissioner of Elections pursuant to Section 3-204 of the New York State Election Law."
Int 1063-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Alexa Avilé,11,"A Local Law to amend the administrative code of the city of New York, in relation to the creation of a mobile application that provides information about electric vehicle charging stations"
SLR 0018-2023,,SLR,Adopted,Committee on State and Federal Legislation,Shaun Abreu,1,"State Legislation Resolution requesting the New York State Legislature to pass bills introduced by Senator Gounardes, S.7289-A, and Assembly Member Pheffer Amato, A.7679, “AN ACT to amend the general municipal law, in relation to including thyroid cancer in the list of cancers presumed to be incurred in the performance of duty for purposes of disability retirement"
M 0160-2023,,Mayor's Message,Adopted,Committee on State and Federal Legislation,,0,"Communication from the Mayor – “AN ACT to amend the New York city charter, the education law, the public housing law and the New York city health and hospitals corporation act, in relation to construction and mentoring programs; and providing for the repeal of certain provisions upon the expiration thereof”. (S.7526 Comrie /A.7"
SLR 0017-2023,,SLR,Adopted,Committee on State and Federal Legislation,Shaun Abreu,1,"State Legislation Resolution requesting the New York State Legislature to pass bills introduced by Senator Jackson, S.7509, and Assembly Member Pheffer Amato, A.7668, “AN ACT to amend the retirement and social security law, in relation to updating certain death benefit provisions of the New York city employees’ retirement system, the New York city teachers’ retirement system, and the board of education retirement system of New York city to ensure continued compliance with the federal older workers’ benefit protecti"
SLR 0016-2023,,SLR,Adopted,Committee on State and Federal Legislation,Shaun Abreu,1,"State Legislation Resolution requesting the New York State Legislature to pass bills introduced by Senator Gounardes, S.6877, and Assembly Member Pheffer Amato, A.7311, “AN ACT to amend the administrative code of the city of New York, in relation to dual retirement system membership in the New York city teachers’ retirement system, the New York city employees’ retirement system, and the New York city board of education retirement sy"
SLR 0015-2023,,SLR,Adopted,Committee on State and Federal Legislation,Shaun Abreu,1,"State Legislation Resolution requesting the New York State Legislature to pass bills introduced by Senator Gounardes, S.5678, and Assembly Member Pheffer Amato, A.7414, “AN ACT to amend the administrative code of the city of New York, in relation to health insurance coverage for surviving spouses or domestic partners of members of the New York city fire department"
M 0159-2023,,Mayor's Message,Adopted,Committee on State and Federal Legislation,,0,"Communication from the Mayor – “AN ACT to amend the tax law, the administrative code of the city of New York, chapter 877 of the laws of 1975, chapter 884 of the laws of 1975 and chapter 882 of the laws of 1977, relating to the imposition of certain taxes in the city of New York, in relation to postponing the expiration of certain tax rates and taxes in the city of New York”. (S.7386/A"
M 0158-2023,,Mayor's Message,Adopted,Committee on State and Federal Legislation,,0,"Communication from the Mayor – “AN ACT to amend the New York city charter, the education law, the general municipal law, the labor law, the public authorities law, and the New York city health and hospitals corporation act, in relation to providing for employment opportunities for economically disadvantaged candidates and economically disadvantaged region candidates and apprenticeship utilization on public transactions; and providing for the repeal of such provisions upon expiration thereof”. (S.7387B/A."
Int 1102-2023,2023/110,Introduction,Enacted,Committee on Parks and Recreation,Shekar Krishnan,44,"A Local Law in relation to the naming of 112 thoroughfares and public places, S.W.A.M. Way, Borough of Queens, Tom DeMott Way, Borough of Manhattan, DJ Jinx Paul Way, Borough of Manhattan, Margarita “Margot” Correa Santana Way, Borough of Manhattan, Daniel Defonte Way, Borough of Brooklyn, Nancy Kearse Gooding Way, Borough of Brooklyn, Andy Varela Way, Borough of Brooklyn, Giuseppina “Josie” Santo Way, Borough of Manhattan, Coach Herbert “Chuck” Griffin Way, Borough of Manhattan, DJ Kay Slay Way, Borough of Manhattan, Angel Luis Colon Way, Borough of Manhattan, Kristal Bayron-Nieve"
LU 0229-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Hamilton Heights Cluster, Block 2071, Lot 56, Block 2073, Lot 43, Block 2074, Lots 25 and 30, Block 2077, Lots 12 and 13, Manhattan, Community District No. 9, Council District No. 7."
LU 0228-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Bronx Park East Apartments, Block 4506, Lots 1 and 40, Bronx, Community District No. 11, Council District No. 15."
LU 0227-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"1500-1502 Hone Ave.HPO.FY23, Block 4068, Lot 1, Bronx, Community District No. 11, Council District No. 13."
LU 0226-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"290 East 149th Street, Block 2330, Lot 16, Bronx, Community District No. 1, Council District No. 17."
LU 0225-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Paradise Management Cluster 16.HPO.FY23, Block 2603, Lot 1002, Bronx, Community District No. 2, Council District No. 8."
LU 0224-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Paradise Management Cluster 13.HPO.FY23, Block 2784, Lot 10, Bronx, Community District No. 4, Council District No. 16."
